;0;51.71828;206.8731;465.4646;827.4926;1292.957;1861.858;2534.196;3309.97;4189.181;5171.828;6257.912;7447.433;8740.39;10136.78;11636.61;12527.51;13418.4;14309.29;15200.18;16091.08;16981.97;17872.86;18763.75;19654.65;20545.54;21436.43;22327.32;23218.22;24109.11;25000
0;0;0.1676391;0.7269081;1.779914;3.452205;5.892766;9.274022;13.79184;19.66552;27.13782;36.4749;47.96641;61.92539;78.68835;98.61523;122.0894;137.0349;152.7196;169.1381;186.2855;204.1574;222.7497;242.0587;262.0808;282.813;304.2521;326.3955;349.2404;372.7845;397.0253;421.9608
0.08959432;0.03757131;0.2356551;0.7978545;1.854221;3.530228;5.974694;9.359523;13.87971;19.75292;27.21911;36.54012;47.99863;61.89753;78.55859;98.32109;121.5402;136.2881;151.7359;167.8738;184.6925;202.183;226.7749;273.6875;337.4399;412.925;495.1941;581.5617;670.4861;760.0997;849.1175;937.3265
0.3583773;0.6014842;0.8775264;1.446211;2.510184;4.194754;6.649074;10.04522;14.57896;20.46788;27.95253;37.29515;48.77899;62.70744;79.40281;99.20487;122.4692;137.2452;152.7219;168.8895;185.7385;203.2598;228.2907;275.3115;339.3989;415.5685;498.3858;585.0147;673.967;763.554;852.6445;941.0278
0.8063489;3.052568;3.459212;4.038536;5.114349;6.81241;9.281888;12.69525;17.24804;23.15864;30.6678;40.03812;51.55328;65.51711;82.25238;102.0993;125.414;140.221;155.7295;171.9296;188.8119;206.3672;232.2633;280.0027;344.9379;422.0787;505.6648;592.8087;682.0403;771.8387;861.2478;950.0482
1.433509;9.681208;10.27088;10.86466;11.9564;13.67188;16.16031;19.5942;24.16916;30.10358;37.6383;47.03596;58.58031;72.57527;89.34372;109.2262;132.579;147.409;162.9408;179.1649;196.0718;213.6528;241.1005;290.8634;357.4174;435.5665;520.0483;608.1695;698.2874;788.8736;879.0932;968.7108
2.239858;23.65148;24.46793;25.07883;26.18895;27.92419;30.43395;33.89099;38.49122;44.45338;52.01879;61.45034;73.03248;87.06959;103.8852;123.8205;147.2331;162.1002;177.6706;193.935;210.8842;228.5097;258.8043;312.2227;381.065;460.3488;546.1984;636.1703;728.1301;820.3314;912.0478;1003.046
3.225396;48.59155;49.65644;50.28528;51.41432;53.17026;55.70365;59.18869;63.82309;69.82779;77.44644;86.94495;98.61064;112.7513;129.694;149.7835;173.381;188.3673;204.0637;220.4606;237.5489;255.4388;290.8862;348.7743;420.7586;502.5501;591.1672;684.1514;778.8379;873.4545;967.5313;1060.718
4.390122;88.39087;89.73002;90.37851;91.52813;93.30709;95.868;99.3878;104.0675;110.1321;117.8299;127.4323;139.2327;153.5458;170.7064;191.0672;214.9976;230.2018;246.1309;262.7749;280.1241;300.3503;342.6433;406.0644;483.8331;570.7684;663.8601;760.673;858.7508;956.9559;1054.81;1151.14
5.734037;148.8683;150.5558;151.2237;152.3896;154.1828;156.7573;160.2918;164.9898;171.0794;178.8125;188.4651;200.3365;214.7487;232.0452;252.5902;276.767;292.1435;308.2657;325.1246;342.7115;369.2405;421.3844;493.7803;579.729;673.731;772.8091;874.8293;978.3516;1082.335;1185.049;1284.491
7.25714;236.4471;238.3728;239.0518;240.22;242.0076;244.5698;248.0875;252.7665;258.8377;266.5572;276.2058;288.0892;302.5372;319.9038;340.5662;364.9244;380.4393;396.7248;413.7741;431.5806;471.7026;537.4962;620.9583;717.4124;821.2524;929.0866;1039.365;1150.71;1261.13;1368.639;1472.467
8.959432;358.6078;361.1056;361.8372;363.0699;364.9356;367.5921;371.2232;376.0384;382.2732;390.1888;400.0722;412.2359;427.0175;444.7801;465.9113;490.8228;506.6919;523.3514;540.7952;560.3369;618.1712;700.7107;799.4428;909.4182;1025.272;1144.594;1265.904;1386.998;1505.691;1621.167;1733.981
10.84091;523.9225;526.819;527.605;528.9138;530.8792;533.6616;537.4484;542.4533;548.917;557.1065;567.3157;579.8646;595.0996;613.3934;635.1443;660.7761;677.1003;694.2363;712.1776;737.4109;818.5788;921.0743;1038.112;1165.184;1298.642;1434.952;1570.475;1703.668;1835.146;1966.262;2097.884
12.90158;732.7755;736.3722;737.235;738.6495;740.7538;743.714;747.725;753.0096;759.8191;768.433;779.1589;792.3321;808.3158;827.5004;850.3032;877.168;894.2748;912.2298;931.0268;975.127;1082.741;1211.789;1354.056;1505.752;1660.73;1815.842;1971.827;2130.083;2291.16;2454.927;2621.555
